name,city,income,credit_score,loan_amount,years_employed,points,loan_approved,gender,debt_to_income,income_per_exp,credit_category,loan_to_points,income_bracket,gender_encoded
Kimberly Gutierrez,New Michael,66434,810,41986,28,75.0,True,Female,0.6319956648703977,2290.8275862068967,Excellent,552.4473684210526,40K-70K,0
Christina Dunn,Samuelfort,89429,424,2891,40,55.0,False,Female,0.032327321115074525,2181.1951219512193,Poor,51.625,70K-100K,0
Cynthia Moore,New Rickybury,113320,416,31241,7,45.0,False,Female,0.2756883162725026,14165.0,Poor,679.1521739130435,100K-130K,0
Brittany Cantu,Williamview,139328,725,32621,30,80.0,True,Female,0.23413097152044096,4494.451612903225,Good,402.7283950617284,130K+,0
Juan Reyes,Port Chad,77819,724,23274,32,70.0,True,Male,0.2990786311826161,2358.151515151515,Good,327.80281690140845,70K-100K,1
Aaron Barber,Grimesmouth,51319,795,23618,21,70.0,True,Male,0.4602194119137162,2332.681818181818,Excellent,332.6478873239437,40K-70K,1
Kimberly Gibson,Mollybury,78520,692,16306,26,75.0,True,Female,0.20766683647478348,2908.1481481481483,Good,214.55263157894737,70K-100K,0
Patrick Thornton,Hughesberg,76566,807,3426,8,90.0,True,Male,0.04474570958388841,8507.333333333334,Excellent,37.64835164835165,70K-100K,1
Leslie Kane,Garciamouth,57460,315,48346,9,30.0,False,Female,0.8413853115210581,5746.0,Poor,1559.5483870967741,40K-70K,0
Matthew Moore,Harringtonview,117841,646,41845,25,65.0,True,Male,0.3550971223937339,4532.346153846154,Fair,634.0151515151515,100K-130K,1
Sarah Phelps,Finleyfort,64993,336,41465,4,25.0,False,Female,0.6379917837305557,12998.6,Poor,1594.8076923076924,40K-70K,0
Michael Mitchell,Lake Christopher,121988,400,42533,6,45.0,False,Male,0.3486654425025412,17426.85714285714,Poor,924.6304347826087,100K-130K,1
Michael Berger,West Lauraport,119593,667,25565,27,70.0,True,Male,0.21376669203047002,4271.178571428572,Fair,360.07042253521126,100K-130K,1
Joseph Knight,East Gregory,114939,691,41613,15,75.0,True,Male,0.36204421475739307,7183.6875,Good,547.5394736842105,100K-130K,1
Mr. David Little MD,Port Stevenport,39358,461,5840,28,35.0,False,Male,0.14838152345139488,1357.1724137931035,Poor,162.22222222222223,<40K,1
Victoria Evans,Vaughnmouth,109840,609,14055,24,70.0,True,Female,0.12795884923525128,4393.6,Fair,197.95774647887325,100K-130K,0
Ashley James,Baileyport,113227,322,44137,25,50.0,False,Female,0.38980985100726856,4354.884615384615,Poor,865.4313725490196,100K-130K,0
Keith Jennings,New Julieport,52431,535,40784,22,35.0,False,Male,0.7778604260838053,2279.608695652174,Poor,1132.888888888889,40K-70K,1
Connor King,Lake Colton,100010,340,21246,28,55.0,False,Male,0.21243875612438756,3448.6206896551726,Poor,379.39285714285717,100K-130K,1
Jacob Anderson,Markchester,125568,479,14159,8,50.0,False,Male,0.11275962028542304,13952.0,Poor,277.62745098039215,100K-130K,1
Sherri Diaz,Mariaview,62087,793,20342,21,75.0,True,Female,0.3276370254642679,2822.1363636363635,Excellent,267.6578947368421,40K-70K,0
Julie Jones,Port Erica,51417,706,37524,23,60.0,True,Female,0.7297975377793336,2142.375,Good,615.1475409836065,40K-70K,0
James Baker,South Miguelview,90589,690,42847,23,65.0,True,Male,0.47298237092803763,3774.5416666666665,Good,649.1969696969697,70K-100K,1
David Johnson,Rosebury,79735,364,42641,29,40.0,False,Male,0.5347839719069417,2657.8333333333335,Poor,1040.0243902439024,70K-100K,1
Elizabeth Ortiz,North Sophia,65382,611,33284,7,45.0,False,Female,0.5090697745556881,8172.75,Fair,723.5652173913044,40K-70K,0
Stephen Taylor,Watsonside,113886,729,39491,9,70.0,True,Male,0.34675903974149586,11388.6,Good,556.2112676056338,100K-130K,1
Mary Bass,Crosbyview,120198,333,46238,23,50.0,False,Female,0.3846819414632523,5008.25,Poor,906.6274509803922,100K-130K,0
Jeremy Young,Corystad,103000,667,4968,25,75.0,True,Male,0.04823300970873787,3961.5384615384614,Fair,65.36842105263158,100K-130K,1
Walter Rush,Davisborough,58785,321,4314,21,50.0,False,Male,0.07338606787445777,2672.0454545454545,Poor,84.58823529411765,40K-70K,1
Cameron Cunningham,Port Kathyborough,119733,521,16269,21,55.0,False,Male,0.13587732705269223,5442.409090909091,Poor,290.51785714285717,100K-130K,1
Rachel Carlson,Micheleberg,72504,433,36403,16,35.0,False,Female,0.5020826437162088,4264.941176470588,Poor,1011.1944444444445,70K-100K,0
Ashley Delacruz,North Michael,140474,543,39591,20,50.0,False,Female,0.28183863206002535,6689.238095238095,Poor,776.2941176470588,130K+,0
Derek Martinez,Foxland,130704,787,30378,23,90.0,True,Male,0.2324182886522218,5446.0,Excellent,333.8241758241758,130K+,1
Ashley Gordon,Lake Kristahaven,131711,608,31018,1,55.0,False,Female,0.2355004517466271,65855.5,Fair,553.8928571428571,130K+,0
John Morales,South Jennifermouth,37331,375,6294,20,35.0,False,Male,0.1685998232032359,1777.6666666666667,Poor,174.83333333333334,<40K,1
Ana Hill,Oscarhaven,60021,601,30734,32,50.0,False,Female,0.5120541143932957,1818.8181818181818,Fair,602.6274509803922,40K-70K,0
Annette Miles,South Shannon,137715,533,28119,21,55.0,False,Female,0.20418255092037904,6259.772727272727,Poor,502.125,130K+,0
Jennifer Blair,Ronaldview,34207,683,11003,30,55.0,False,Female,0.32165930949805593,1103.4516129032259,Good,196.48214285714286,<40K,0
Ronald Davis,Lake Joanneberg,135518,361,39434,35,50.0,False,Male,0.29098717513540634,3764.3888888888887,Poor,773.2156862745098,130K+,1
Meagan Jenkins,Parrishton,71347,594,40348,19,50.0,False,Female,0.5655178213519839,3567.35,Fair,791.1372549019608,70K-100K,0
Kenneth Lewis,Walkerville,82581,658,37455,23,55.0,False,Male,0.4535546917571839,3440.875,Fair,668.8392857142857,70K-100K,1
Donald Perez,Bruceside,65093,326,40911,17,35.0,False,Male,0.6285007604504325,3616.277777777778,Poor,1136.4166666666667,40K-70K,1
Donald Farmer,Michaelburgh,38675,446,38114,25,25.0,False,Male,0.9854945054945055,1487.5,Poor,1465.923076923077,<40K,1
Patrick Bonilla,Lake Alyssafurt,57653,729,30730,21,60.0,True,Male,0.533016495238756,2620.590909090909,Good,503.7704918032787,40K-70K,1
Eric Nguyen,North Ericton,149686,383,18832,28,55.0,False,Male,0.1258100289940275,5161.586206896552,Poor,336.2857142857143,130K+,1
Karla Ramos,Jasonhaven,104341,416,23621,27,55.0,False,Female,0.226382725869984,3726.464285714286,Poor,421.80357142857144,100K-130K,0
Michael Watkins,Brandonfurt,144867,356,1503,13,60.0,True,Male,0.010375033651556256,10347.642857142857,Poor,24.639344262295083,130K+,1
Daniel Taylor,Keithville,124098,307,33596,27,50.0,False,Male,0.27072152653548004,4432.071428571428,Poor,658.7450980392157,100K-130K,1
James Padilla,Charleston,71245,746,2228,29,85.0,True,Male,0.031272369990876556,2374.8333333333335,Excellent,25.906976744186046,70K-100K,1
Shannon Johnston,Mckinneychester,57869,596,8548,25,60.0,True,Female,0.1477129378423681,2225.730769230769,Fair,140.13114754098362,40K-70K,0
Frederick Solis,Collierstad,115909,390,29620,6,45.0,False,Male,0.25554529846690077,16558.428571428572,Poor,643.9130434782609,100K-130K,1
Kevin Warren,Harrellmouth,95435,526,22827,10,50.0,False,Male,0.23918897679048567,8675.90909090909,Poor,447.5882352941176,70K-100K,1
Mark Schmidt,Port Michael,81856,451,16484,6,45.0,False,Male,0.2013780297107115,11693.714285714286,Poor,358.3478260869565,70K-100K,1
Craig Morrison,East Stephaniefort,145957,775,37944,37,85.0,True,Male,0.2599669765752927,3840.9736842105262,Excellent,441.2093023255814,130K+,1
Thomas Cunningham,Michellemouth,149871,454,29820,4,45.0,False,Male,0.19897111515903676,29974.2,Poor,648.2608695652174,130K+,1
Mark Hogan,West Williamport,114259,772,30616,2,75.0,True,Male,0.2679526339281807,38086.333333333336,Excellent,402.8421052631579,100K-130K,1
Ronald Jones,New Brookefurt,90142,773,39032,35,75.0,True,Male,0.43300570211444167,2503.9444444444443,Excellent,513.578947368421,70K-100K,1
Nancy Williams,West Cassidy,48726,813,10886,3,65.0,True,Female,0.22341255182038336,12181.5,Excellent,164.93939393939394,40K-70K,0
Robert Monroe,New Debbieton,64718,553,47374,28,35.0,False,Male,0.7320065515003554,2231.655172413793,Poor,1315.9444444444443,40K-70K,1
Kelly Bishop MD,Paulmouth,48301,353,42345,21,25.0,False,Female,0.8766899236040662,2195.5,Poor,1628.6538461538462,40K-70K,0
Brandon Gregory,Johnathanberg,62325,641,6341,37,60.0,True,Male,0.10174087444845567,1640.1315789473683,Fair,103.95081967213115,40K-70K,1
Sydney Collins,Andersonland,127647,617,37629,24,65.0,True,Male,0.2947895367693718,5105.88,Fair,570.1363636363636,100K-130K,1
Erin Anderson,Lake Ellenhaven,103579,670,2194,23,85.0,True,Female,0.02118189980594522,4315.791666666667,Good,25.511627906976745,100K-130K,0
Trevor Peterson,Leeberg,100644,458,6057,18,60.0,True,Male,0.06018242518182902,5297.0526315789475,Poor,99.29508196721312,100K-130K,1
Ashley Wise,Lake Matthewberg,64438,685,11109,10,70.0,True,Female,0.17239827431018964,5858.0,Good,156.46478873239437,40K-70K,0
Michael Weber,Lake Samuel,127912,720,24874,15,80.0,True,Male,0.19446181749953093,7994.5,Good,307.08641975308643,100K-130K,1
Lisa Goodwin,Youngbury,106622,616,31737,12,65.0,True,Female,0.2976590197145054,8201.692307692309,Fair,480.8636363636364,100K-130K,0
Travis Joyce,Hammondfurt,86155,814,35567,26,80.0,True,Male,0.4128257210840926,3190.925925925926,Excellent,439.0987654320988,70K-100K,1
Ruth Solis,Port John,147679,792,25327,35,90.0,True,Female,0.17150034872933864,4102.194444444444,Excellent,278.31868131868134,130K+,0
Michelle Black,West Christopherburgh,106484,579,30446,32,50.0,False,Female,0.2859208895233087,3226.787878787879,Poor,596.9803921568628,100K-130K,0
Jeffrey Potts,Port Shannon,82350,657,2747,26,70.0,True,Male,0.033357619914996965,3050.0,Fair,38.690140845070424,70K-100K,1
Jonathan Young,West Jeffreymouth,77447,401,47838,21,40.0,False,Male,0.6176869342905471,3520.318181818182,Poor,1166.780487804878,70K-100K,1
Brenda Mitchell,Hortonberg,58746,780,30399,39,70.0,True,Female,0.5174650188949035,1468.65,Excellent,428.15492957746477,40K-70K,0
Bobby Scott,New Shelby,48131,840,28738,7,60.0,True,Male,0.597078805759282,6016.375,Excellent,471.11475409836066,40K-70K,1
Cynthia Martinez,South Danielle,96784,768,5116,7,85.0,True,Female,0.05285997685567862,12098.0,Excellent,59.48837209302326,70K-100K,0
Kathryn Herrera,Lake Douglas,94686,739,1102,39,80.0,True,Female,0.011638468200156305,2367.15,Good,13.604938271604938,70K-100K,0
Kenneth Lopez,New Theresaland,41915,838,36656,32,65.0,True,Male,0.8745317905284504,1270.1515151515152,Excellent,555.3939393939394,40K-70K,1
Katie Smith,Williamsfurt,129061,682,17623,1,65.0,True,Female,0.13654783396998318,64530.5,Good,267.0151515151515,100K-130K,0
Austin Allen,Port Bonniemouth,36175,436,3905,22,35.0,False,Male,0.1079474775397374,1572.8260869565217,Poor,108.47222222222223,<40K,1
Robin Thompson,Pollardfort,142866,486,9837,4,50.0,False,Male,0.06885473100667759,28573.2,Poor,192.88235294117646,130K+,1
Terri Johnson,North Kylie,44371,342,21682,19,25.0,False,Female,0.4886524982533637,2218.55,Poor,833.9230769230769,40K-70K,0
Virginia Daniels,Benjaminborough,50033,592,24394,3,40.0,False,Female,0.48755821158035695,12508.25,Fair,594.9756097560976,40K-70K,0
Evelyn Martinez,Samuelfurt,112240,750,26339,21,90.0,True,Female,0.23466678545972916,5101.818181818182,Excellent,289.43956043956047,100K-130K,0
Kathleen Jimenez,Lauriechester,50969,380,29220,38,35.0,False,Female,0.5732896466479624,1306.8974358974358,Poor,811.6666666666666,40K-70K,0
Catherine Carter MD,Donnaport,133819,756,40493,27,85.0,True,Female,0.3025952966320179,4779.25,Excellent,470.8488372093023,130K+,0
Jeremy West,Christinachester,119192,581,42908,3,55.0,False,Male,0.3599906033962011,29798.0,Fair,766.2142857142857,100K-130K,1
Mark Cox,North Douglas,85333,748,3280,8,85.0,True,Male,0.03843765014707089,9481.444444444445,Excellent,38.13953488372093,70K-100K,1
Richard Diaz,Herrington,108172,457,45503,28,45.0,False,Male,0.42065414340124985,3730.0689655172414,Poor,989.195652173913,100K-130K,1
Jacqueline Hines,New Michael,38326,621,43569,17,40.0,False,Female,1.1368000834942338,2129.222222222222,Fair,1062.658536585366,<40K,0
Brian Fitzgerald,Holmesside,80432,420,18155,16,50.0,False,Male,0.22571861945494331,4731.294117647059,Poor,355.98039215686276,70K-100K,1
Cindy Carr,Gonzalezberg,80019,375,30625,11,45.0,False,Female,0.3827216036191404,6668.25,Poor,665.7608695652174,70K-100K,0
Jill Miller,Elizabethland,108104,597,20657,10,70.0,True,Female,0.19108451121142603,9827.636363636364,Fair,290.943661971831,100K-130K,0
Tammy Little,Williamville,91348,505,10101,15,50.0,False,Female,0.1105771335989841,5709.25,Poor,198.05882352941177,70K-100K,0
Allison Spencer,Tannerside,99352,432,41104,5,35.0,False,Female,0.41372091150656254,16558.666666666668,Poor,1141.7777777777778,70K-100K,0
James Love,Foxchester,62953,375,9213,20,45.0,False,Male,0.14634727495115404,2997.7619047619046,Poor,200.2826086956522,40K-70K,1
Joanna Frazier,Davidside,102512,486,9456,27,60.0,True,Female,0.09224285937256126,3661.1428571428573,Poor,155.01639344262296,100K-130K,0
Sheena Guerra,West Fred,142824,630,47486,14,65.0,True,Female,0.33247913515935695,9521.6,Fair,719.4848484848485,130K+,0
Todd Jacobson,West Jamesside,31504,581,9203,40,45.0,False,Male,0.2921216353478923,768.390243902439,Fair,200.06521739130434,<40K,1
Joseph Shaw,New Shelly,119166,457,12219,39,55.0,False,Male,0.10253763657419063,2979.15,Poor,218.19642857142858,100K-130K,1
Lisa Kirby,Port Michelleland,124466,346,43038,36,50.0,False,Female,0.3457811771889512,3363.945945945946,Poor,843.8823529411765,100K-130K,0
Daniel Armstrong,South Pamelaside,45014,596,43068,19,40.0,False,Male,0.9567690051983827,2250.7,Fair,1050.439024390244,40K-70K,1
Dr. Michael Evans,Lake Brianmouth,119353,725,32735,29,75.0,True,Male,0.27427044146355767,3978.4333333333334,Good,430.7236842105263,100K-130K,1
Lawrence Edwards,Jessicastad,145970,708,9569,23,85.0,True,Male,0.06555456600671371,6082.083333333333,Good,111.26744186046511,130K+,1
Ashley Allen,West Shannonberg,100381,399,4316,18,60.0,True,Female,0.04299618453691435,5283.210526315789,Poor,70.75409836065573,100K-130K,0
Sharon Barnes,Port Mark,128419,620,13440,10,70.0,True,Female,0.1046574105077909,11674.454545454546,Fair,189.29577464788733,100K-130K,0
Mr. Jonathan Parker Jr.,Wagnerbury,64973,520,39230,22,35.0,False,Male,0.6037892663106214,2824.913043478261,Poor,1089.7222222222222,40K-70K,1
Douglas Harper,Mitchelltown,130741,410,29241,8,50.0,False,Male,0.22365593042733342,14526.777777777777,Poor,573.3529411764706,130K+,1
